TensorFlow2,Keras
264.170969,222.653298
262.816121,221.881800
262.487079,221.992251
263.006489,221.142611
263.453732,222.073784
262.831212,223.520958
251.405652,223.771901
263.276387,220.347426
263.379112,221.695480
260.134923,221.694411
264.249509,221.408567
265.366969,223.630449
263.701836,224.754295
246.377867,228.584064
237.181813,228.988076
249.507560,230.700468
264.507281,222.072204
263.155890,221.572515
254.967629,223.750358
262.280367,221.958622
261.490941,222.075603
262.776459,221.658857
263.417955,224.646785
263.208464,227.281671
239.891499,231.960431
259.922240,232.870862
262.268270,232.696239
234.454357,224.060225
237.028185,224.301608
261.574984,222.606869
264.621794,222.061623
264.038846,222.207452
265.647148,221.677662
241.783446,221.005271
242.819165,225.782618
243.044619,230.062608
244.062270,232.611593
243.012979,231.331754
240.706057,230.781002
262.398802,232.171957
250.646807,230.690716
244.081657,230.504091
243.227850,222.725292
246.233987,222.520864
244.295875,222.394080
243.794685,223.603870
242.190739,223.372771
255.669926,222.796452
265.876735,223.414911
267.970165,229.430623
265.662014,225.263684
264.215152,224.069224
262.902048,222.400519
262.827010,224.271123
254.833977,225.612247
244.313416,224.804381
264.074400,225.263034
254.453914,231.620156
241.681434,233.778325
240.771327,232.988756
242.751081,231.174382
242.544986,233.743126
244.741191,235.693907
244.915276,235.277369
244.337899,232.111408
244.297367,228.741562
262.134797,226.904908
263.201769,223.693545
247.706105,223.408160
242.044256,222.831462
242.048162,222.180017
242.654837,225.813645
264.641275,229.505491
264.524189,231.388183
264.038637,224.987996
263.927441,224.635607
265.496717,222.782422
262.893002,222.816555
262.123424,223.071964
261.432364,222.181007
261.360964,222.861981
262.307728,225.403784
263.156526,229.434237
242.640796,229.185622
259.615200,224.028701
263.697619,224.720160
263.356158,221.751887
261.801125,222.856831
261.929692,224.474064
261.246280,224.145788
262.705447,224.792988
263.497070,227.560739
261.754021,229.365824
262.275876,231.140025
261.032746,230.348538
243.578888,231.622977
243.618508,227.006470
243.315705,225.341924
262.011016,223.547414
269.145971,224.279688
