TensorFlow,Keras
25.850501,33.735134
25.220743,33.693165
25.164441,34.116874
25.260520,33.872644
25.067942,33.782695
25.075942,33.166098
25.138675,33.790107
25.273910,33.612941
25.218509,32.962120
25.150448,32.747569
25.196352,32.552958
25.156379,33.120477
25.842516,32.250175
25.429360,32.895976
25.332757,32.955215
25.242704,32.938924
25.259041,32.604759
25.358371,33.151751
25.423442,32.756423
25.416403,32.882415
25.327192,32.784313
25.355944,33.383352
25.387876,32.780396
25.335664,32.723305
25.787223,32.519948
25.667780,32.540531
25.393216,32.378401
25.322083,32.268292
25.367207,32.202395
25.349452,32.865396
25.373283,32.183288
25.333118,32.962110
25.424223,32.048253
25.281196,32.242065
25.237672,32.072956
25.372393,32.337341
25.358058,32.173984
25.775062,32.173220
25.207721,31.990574
25.200637,32.668051
25.334927,32.539062
25.271899,31.964126
25.097990,32.574096
25.182362,32.202022
25.306402,31.910614
25.171657,31.542666
25.276676,31.902633
25.267176,31.665368
25.378312,31.589329
26.011079,32.378914
25.218538,32.227399
25.150555,32.237385
25.216826,31.938751
25.188563,32.108472
25.260733,32.191416
25.147243,31.918899
25.260119,31.456459
25.201812,31.750861
25.117739,32.084483
25.200130,32.490042
25.228073,31.848036
25.828738,31.799664
25.287045,32.044081
25.257866,31.950570
25.107842,31.393584
25.113395,31.716995
25.089174,31.783132
25.166578,32.314157
25.264706,32.154612
25.160587,32.086656
25.210999,32.034204
25.319584,32.057952
25.184449,32.177124
25.638222,32.041162
25.471828,31.921790
25.236698,31.534033
25.329348,31.681805
25.230772,31.785783
25.235681,31.524116
25.443156,32.328416
25.329738,31.609025
25.332070,31.896821
25.354821,31.711363
25.706236,31.365451
25.587215,31.909699
25.352604,31.301997
25.293841,31.784760
25.281488,32.607372
25.327818,32.016993
25.321434,32.169483
25.340208,31.810054
25.316415,32.236733
25.277986,32.313582
25.317345,31.901429
25.436367,32.522039
25.782969,32.628528
25.863400,32.634085
25.540049,32.154871
25.487149,32.107577
25.428733,32.170538
